time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
5.48,0.014587,-0.072754,0.505066,0.001831,-0.005127,-0.002136
5.5,0.014648,-0.072571,0.504272,0.000549,-0.006409,-0.002136
5.52,0.016174,-0.071716,0.51001,0.000916,-0.006042,-0.002869
5.54,0.014832,-0.073853,0.501892,-0.004517,-0.007019,-0.003113
5.56,0.019653,-0.075867,0.508118,-0.004211,-0.00824,-0.003479
5.58,0.015442,-0.073914,0.505554,-0.004639,-0.005005,-0.001221
5.6,0.017029,-0.074951,0.506897,-0.009521,-0.008545,-0.000183
5.62,0.014832,-0.057556,0.506165,-0.011658,-0.008179,0.000671
5.64,-0.02356,0.010986,0.504395,-0.010254,-0.009216,0.008179
5.66,-0.021912,0.002686,0.525818,0.001831,-0.010071,0.020752
5.68,-0.03363,-0.110474,0.494568,0.003967,-0.009521,0.031555
5.7,0.096008,-0.215149,0.516785,-0.000427,-0.006348,0.029541
5.72,0.044067,-0.072205,0.493347,-0.032043,-0.000671,-0.01001
5.74,0.019653,-0.084045,0.511047,-0.031616,-0.009094,-0.026489
5.76,-0.002808,-0.096375,0.505371,-0.043701,-0.026306,-0.008423
5.78,-0.001526,-0.100098,0.500854,-0.041382,-0.041321,0.015686
5.8,0.014954,-0.091614,0.510498,-0.036682,-0.052673,0.029663
5.82,0.005432,-0.097595,0.539917,-0.032043,-0.057617,0.031982
5.84,0.012695,-0.117493,0.576538,0.002075,-0.056213,0.029785
5.86,0.048584,-0.131775,0.591797,0.036682,-0.04657,0.022705
5.88,0.07196,-0.115601,0.605408,0.046204,-0.042175,0.005798
5.9,0.083191,-0.109131,0.595703,0.039856,-0.055359,-0.011108
5.92,0.076172,-0.10083,0.587341,0.032776,-0.084412,-0.019653
5.94,0.06488,-0.085632,0.584717,0.025269,-0.121399,-0.024353
5.96,0.056885,-0.06189,0.57666,0.014099,-0.154663,-0.026917
5.98,0.051025,-0.058899,0.574646,0.006531,-0.174194,-0.030029
6.0,0.047607,-0.072388,0.58844,0.016663,-0.179382,-0.03717
6.02,0.05896,-0.086304,0.594055,0.036011,-0.177307,-0.046631
6.04,0.065918,-0.102661,0.607788,0.045166,-0.175842,-0.05188
6.06,0.074524,-0.121582,0.609558,0.045532,-0.181335,-0.047974
6.08,0.075684,-0.111328,0.61377,0.042603,-0.194641,-0.042175
6.1,0.063477,-0.085754,0.603577,0.041565,-0.210449,-0.041382
6.12,0.050781,-0.080994,0.584351,0.032471,-0.221619,-0.041565
6.14,0.078308,-0.097046,0.579041,0.023315,-0.224304,-0.036865
6.16,0.092712,-0.096497,0.577576,0.024109,-0.22168,-0.029541
6.18,0.068604,-0.076355,0.562439,0.030945,-0.224121,-0.020813
6.2,0.075745,-0.057861,0.544556,0.02478,-0.234558,-0.016418
6.22,0.10321,-0.053223,0.541504,0.000793,-0.246826,-0.020691
6.24,0.11908,-0.061462,0.532043,-0.019531,-0.254333,-0.029419
6.26,0.121643,-0.067139,0.521362,-0.035583,-0.256104,-0.038513
6.28,0.158203,-0.050232,0.527283,-0.062256,-0.257568,-0.045349
6.3,0.195923,-0.048828,0.493042,-0.076965,-0.255615,-0.047791
6.32,0.194336,-0.036804,0.493103,-0.081055,-0.25293,-0.051331
6.34,0.162476,-0.061035,0.477295,-0.086182,-0.252258,-0.054077
6.36,0.18103,-0.108704,0.494568,-0.080444,-0.259644,-0.050232
6.38,0.202393,-0.112732,0.478271,-0.065674,-0.260254,-0.046082
6.4,0.228577,-0.070862,0.406189,-0.052979,-0.259949,-0.035156
6.42,0.254517,-0.019592,0.348083,-0.055725,-0.274292,-0.025085
6.44,0.247925,-0.005859,0.362732,-0.066162,-0.31073,-0.027649
6.46,0.293701,-0.030518,0.368042,-0.05249,-0.339905,-0.048767
6.48,0.360474,-0.037842,0.386841,-0.029785,-0.364319,-0.074829
6.5,0.383118,-0.020813,0.37738,-0.017212,-0.383972,-0.083618
6.52,0.386841,-0.005188,0.36853,0.009888,-0.385193,-0.088501
6.54,0.380615,0.005432,0.365662,0.042236,-0.370544,-0.10553
6.56,0.345215,-0.022278,0.323914,0.067749,-0.349548,-0.118835
6.58,0.328247,-0.044067,0.300781,0.069763,-0.324707,-0.108459
6.6,0.318481,-0.048218,0.307373,0.062195,-0.288391,-0.07373
6.62,0.344849,-0.043701,0.285889,0.084106,-0.236694,-0.029297
6.64,0.392334,-0.028198,0.243164,0.125854,-0.176331,0.009094
6.66,0.414368,-0.00885,0.216553,0.145081,-0.12384,0.036194
6.68,0.428223,0.00415,0.223389,0.133057,-0.105042,0.048767
6.7,0.457581,0.013794,0.226501,0.130249,-0.123291,0.045898
6.72,0.465515,0.039978,0.245117,0.144165,-0.159851,0.030396
6.74,0.453491,0.051575,0.244446,0.149231,-0.196533,-0.000244
6.76,0.46814,0.031616,0.234802,0.153687,-0.232971,-0.035583
6.78,0.471863,0.003296,0.207336,0.144714,-0.260315,-0.05542
6.8,0.45874,0.004517,0.207397,0.135376,-0.263,-0.046021
6.82,0.46521,-0.007507,0.176575,0.140442,-0.243408,-0.020935
6.84,0.446533,-0.012512,0.186523,0.149536,-0.230103,-0.001831
6.86,0.434204,-0.013977,0.193481,0.153564,-0.224792,-0.001099
6.88,0.456543,-0.013977,0.203796,0.157043,-0.232971,0.009583
6.9,0.482849,-0.021057,0.202332,0.154846,-0.224731,0.029419
6.92,0.471924,-0.017273,0.192505,0.139465,-0.209656,0.041565
6.94,0.463623,0.006287,0.199219,0.149536,-0.210205,0.043701
6.96,0.482483,0.000488,0.189575,0.161377,-0.221558,0.036865
6.98,0.540588,0.020447,0.186584,0.129028,-0.233459,0.033264
7.0,0.503723,0.028931,0.142456,0.107178,-0.22345,0.044067
7.02,0.48761,0.011597,0.128296,0.107361,-0.182556,0.058044
7.04,0.482178,-0.018738,0.103088,0.079712,-0.142822,0.08844
7.06,0.481262,-0.014587,0.074402,0.030273,-0.129333,0.137085
7.08,0.470154,-0.020569,0.043396,0.008301,-0.147156,0.167786
7.1,0.454285,-0.028503,0.0802,0.003906,-0.196167,0.178711
7.12,0.472839,-0.012939,0.101379,-0.025574,-0.236511,0.158203
7.14,0.433716,0.004272,0.174561,-0.049011,-0.241211,0.126892
7.16,0.420532,-0.050354,0.179382,-0.018127,-0.212952,0.119751
7.18,0.448914,-0.067505,0.15625,-0.01123,-0.179321,0.119324
7.2,0.463806,-0.058899,0.127258,-0.034729,-0.148499,0.121155
7.22,0.474792,-0.049866,0.086548,-0.070801,-0.12207,0.122131
7.24,0.489502,-0.045044,0.06189,-0.091431,-0.081177,0.11377
7.26,0.513062,-0.042786,0.031799,-0.100891,-0.014709,0.097778
7.28,0.503967,-0.047363,-0.001221,-0.146301,0.03302,0.07782
7.3,0.507812,-0.038086,-0.015686,-0.22406,0.03656,0.061707
7.32,0.527039,-0.044617,-0.02301,-0.321411,0.018555,0.038513
7.34,0.522949,-0.053101,-0.005798,-0.410889,-0.005371,0.019348
